Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,CoinedWord,Sender_Title,Closing_Remarks,Sender_Email,Logo,To,Label
ÊURGENT: Your New Salary Notification,"Hello, You have an important email from the Human Resources Department with regards to your December 2015 Paycheck

This email is enclosed in the Marquette University secure network, hence access it below

Access the documents here <http://gabrielramon.be/<link removed>

***Ensure your login credentials are correct to avoid cancellations**

Faithfully
Human Resources
University of California, Berkeley",2015-12-10,7:22 AM,"Thu,",URL,URGENT,"Human Resources
University of California, Berkeley",Faithfully, HR@berkeley.edu,,NB,0
REQUEST,"Hi, a quick message before it skips my mind again. I need you to purchase some gift cards from the store today. We intend to reward some staffs with it. Reply and let me know how soon you can get this done. Also, please keep this confidential pending the time we announce it.",2020-01-09,5.22.48PM EDT,tue,,"Request, gift card",,,,,B,1
Lesson Coach Needed,Some hiring stuffs for coach,2020-01-09,12.50pm,Tue,,"Needed, employment hire",Colman,Regard,Y,,B,1
"Caller from Kent Admin on 16 July, 2019",call missed,2020-01-09,5.12pm,Tue,Na,hiring,Kent support,Regrads,Y,Microsoft,B,1
REPLY AS SOON AS POSSIBLE,"Bank, important matter to discuss with late client who is dead. Asking for full detail information",2020-01-09,11.33am,sun,Email,important,,Regards,Y,Na,B,1
V M 123310719,call missed,2020-01-09,3.29pm,wed,,missed call,,,Y,"Microsoft, Office 365",B,1
inviting you to collaborate on filess,some shred document,2020-01-09,7.56pm,wed,file ,shared,,,,Microsoft,B,1
VM Message attached,call missed,2020-01-09,12.37pm,tue,,missed call,,,,Office 365,B,1
ÊVerification Process.,"account verification, microsoft account in kent",2020-01-09,8.55am,mon,,"verification, access",,Cheers,Y,,B,1
Audio received,audio,2019-07-08,2.09 pm,mon,,audio,kent support,,,,B,1
I AM ASKING FOR YOUR SUPPORT.,Someone lost lifr in Libyan civil war. Help kin,2020-01-09,3.18PM,Fri,email,support,,,,,B,1
"shared ""DOCX"" with you.",shared docx,2020-01-09,11.55.54 AM,tue,doc file,shared,,,,microsoft word,B,1
File has been damaged,shared docx,2020-01-09,4.56am,thur,file ,damaged,,,,Google Drive,B,1
Kent-Outlook E-Ticket:#JKf1SB3YW5 for @k****edu.,"confirm with microsift, account",2020-01-09,1.44am,tue,link,confirm,,,,Microsoft,B,1
Faculty Evaluation.docx,faculty evaluation,2020-01-09,10.49am,tue,file ,evaluation,ITS service,,,microsoft ward,NB,1
Missed Call,called missed,2020-01-09,1.54pm,fri,,,,,,,B,1
TESTi1,"english speaking editor, professional guide, correcting",2020-01-09,5.24.03om EDT,tue,,"editor, service",,"Best Regards,",,,NB,1
ÊClustered Alert ID 130423046,some pending message,2020-01-09,11.39am,thur,access message,alert,,"Best Regards,",Y,microsoft,B,1
Approved Job Offer,selected for shadow shopper review,2020-01-09,11.39am,thur,apply here now,"approve, offer, ",,Warm Regards,,shadowshopper,B,1
"Agriculture Department shared ""Document"" with you.",internal dept shared document,2020-01-09,10.24.01 am,thur,open,"shared, document",,,,Microsoft,B,1
Advertise While Driving Your Car,job opportuniies and looking for candidate,2020-01-09,1.27pm,wed,,"hiring, ",,,,,B,1
Payroll Changes made was successful,chnages in payroll information,2020-01-09,4.19pm,mon,payroll verification,"payroll, changes, access, authenticated",,Thank you,,,B,1
Office 6/17/2019 11:56:18 AM,office 465 subscription exrired and. Validation stuff,2020-01-09,5.57am,mon,confirm now,"expire, request,subscritption, validation",,,,Office 365,B,1
 Office 365 Password About To Expire,office 465 subscription exrired and. Validation stuff,2020-01-09,8.08pm,mon,offcie 365 Admin center,"expire, password, subscription, hold",office 365 Customer Service,Thank you,Y,offcie 365,B,1
Information.docx,file has been shared In docx,2020-01-09,11.50am,mon,file ,"file, share,docx",,,,docx,B,1
"Assalamualaikum My Dear Friend,","politiics, legal iisues to retire , million doller to bank, profit",2020-01-09,3.11pm,mon,,"profit, bank, dollar, million, confirmation",,thank with my best regards,,,B,1
ÊYou have (15) notification message from your faculty admin,notification message from faculty admin,2020-01-09,11.59am,fri,blackboard faculty admin,"notification, admin, faculty",Y,Thanks,Y,,B,1
 Verification Required: Validate Service Request for Kent,email update required and confirm now,2020-01-09,1.06pm,thur,office365 account team,"update, required, confirm, disable, suspense, ",Y,Thanks,Y,offcie 365,B,1
"Account Activity Request on 13 June, 2019",ms account activation and validation ,2020-01-09,12.50pm,thur,validate now,"activation, validate, immidiate, request",Y,Regrads,Y,microsoft,B,1
Audio_Message from ext. 4783,audio,2020-01-09,11.16am,wed,,,Y,,Y,,B,1
kent.edu Email Deactivation Request,made request to deactivate your account ,2020-01-09,10.50om,tue,,"deactivate,request",Y,Thanking you,Y,,B,1
ÊMissed Call,caller left a message for you,2020-01-09,1.12 PM,tue,,message,,,,,B,1
I BRING CALVARY GREETNG FROM MRS.SUZAN BONI.,money for cancer diagnosied,2020-01-09,8.35am,tue,,"cancer, diseases, ",,,,,B,1
please update ppayment,"update payment  and payment declined, ",2020-01-09,8.50am,mon,update payment information,"decline, update, payment, failed",Y,S.incerely,Y,,B,1
Work Code of Conduct,work conduct for employee in an institution,2020-01-09,7.36pm,mon,,"HR, code, employment",Y,"Regards,",Y,,B,1
Incoming Email issues,email issues from office 365,2020-01-09,7.48am,mon,follow simple steps,"issues, email, account,recover, hold",y,sincerely,Y,Office365,B,1
ÊYour PayPal Payment Receipt of $649.99 to **MCAFEE LLC,"statement of payment , transaction details and log into PayPal account  ",2020-01-09,8.39.55am EDT,tue,manage or cancel subscritption,"transaction, payment, account",Y,,Y,PayPal,B,1
Pet Sitter Needed,"I need someone to look after my pet, $350 weekly",2020-01-09,5.53 pm,wed,,"needed, ad, ",Y,"Thanks,",Y,,B,1
lncoming emails rejected,offi e 365 was unable to deliver ,2020-01-09,1.34pm,fri,Retrieve message,"rejected, unable,",Y,,Y,,B,1
Update ID: Review Message,need to validate account ,2020-01-09,7.40om GMT,tue,confirm now,"validate, request,update",Y,,Y,,B,1
We Need Your Confirmation,fund in office that we like to make some clarification,2020-01-09,7.42.13 am,wed,,"confirmation, ",Y,Yours in Servic,Y,,B,1
Email Security Alert,email storage exceeded the limit and need to upgrade immidiately. ,2020-01-09,8.36 am,wed,URL Redacted,"exceeded, upgraded, alert, secuirty, data lost,immidiately",Y,,Y,,B,1
Doc___gn Received : ScannedAgreementDOC012.Pdf,doc shared,2020-01-09,3.30pm,tue,Review Document,shared,Y,"Thank you,",Y,Docx,B,1
Employment Opportunity,"personal assistant, employment opportunity",2020-01-09,8.17pm,mon,,"employment, immidiately",Y,Thank you,Y,,B,1
Puppy Sitter:,need puppy sitter ,2020-01-09,7.47am,thur,,"employment, ",Y,,Y,,B,1
Payment receipt,remittance advice for payment ,2020-01-09,12.20pm,thur,file ,payment,Y,,Y,,B,1
ÊBusiness/Partnership,deal and interest in business,2020-01-09,1.13am,fri,,benefits,Y,Sincerely,Y,,B,1
SCAN5655,shared file,2020-01-09,12.00pm,thur,open doc,share,Y,,Y,,B,1
FW: Action Required: Update your payment information now,payment against office 365 subscription was failed,2020-01-09,9.04pm,wed,URL Redacted,"failed, subscription, payment,admin, update,remove,request",Y,Regards,Y,,B,1
ÊFW: Action Required: Update your payment information now,payment declined for office 365,2020-01-09,7.52pm,wed,update your payment information,"update, declined, payment, ",,"Sincerely,",,,B,1
Due Invoice 10355697 From Cortland Line Company,"file shared about invoices , financial",2020-01-09,12.04 pm,mon,file ,"invoice, payment",Y,,,,B,1
Help,"donating, lottery winner",2020-01-09,1.30 am,tue,,"pay, money",Y,,Y,,B,1
KSU Email Notification,email notification regarding fedaral law violation and identity and verification,2020-01-09,6.09PM,Fri,URL Redacted,"verificationerror, violates, ",Y,"Sincerely,",Y,,B,1
"ÊDear Web-mail User,","remail pending for database upgrade, validate emial account",2020-01-09,6.39PM,fri,,"validate, required, upgrade, ",Y,Thanks,Y,,B,1
Remittance Payment Advice,attched payment details,2020-01-09,12.42pm,thur,ACH-Payment.PDf,payment,,Regards,,,B,1
Nancy Smith is inviting you to collaborate on Project Docs,Project docs,2020-01-09,11.15.53am,thur,pdf ,"project, education",,Thanks,,Microsoft,B,1
Project LR342 Quote Request,"project work share, collaboration",2020-01-09,7.14am,wed,link,"peoject, education, request",,,,,B,1
ÊPet Sitter Job,job pet sitter,2020-01-09,11.53am,wed,,employment,,,,,B,1
"Kent Validation Request on May 01, 2019, 03:00 AM","secuirty update, recommend to validate",2020-01-09,03.00am,wed,validate now,"security, validate, request",Y,Regards,Y,Microsofr,B,1
(1) Your account has been limited. ID: #R5131.6D9R406MH,office account has limited for payment failing,2020-01-09,5.12.30pm,tue,sign in to customer portal,"limited, validate, account,failed,transaction",Y,"Best Regards,",Y,office 365,B,1
ADVICE OF DEBIT - BANK CONFIDENTIAL,schedule payment in bank in personal checkin account,2020-01-09,12.03pm,mon,URL Redacted,"payment,account, confidential",Y,"Respectfully yours,",Y,,B,1
Message - Time 0:55 Seconds,ausio attached with link,2020-01-09,1.23,fri,play,,Y,,Y,,B,1
ÊKent Admin #O38A3S#,mandatory account review process,2020-01-09,2.37pm,Fri,confirm now,"mandatory, acount, require, admin, incorrect",Y,,Y,Microsoft,B,1
Invoice for Service,invoiced for completed work,2020-01-09,12.00pm,fri,URL Redacted,"invoice, payment",Y,,Y,,B,1
P_nd_ng Document,onedrive pending doc,2020-01-09,10.20am,thur,view document,document,Y,,Y,,B,1
Ê[IMPORTANCE] Login Review Required On Kent Email Account,verify password for login interruption,2020-01-09,10.15.29am EDT,tue,confirm now,"verify, account,interruption",Y,,Y,Microsoft,B,1
ÊPaperWorks,document sharepoint,2020-01-09,2.41pm,tue,nview document,"share, education, ",Y,"Sincerely,",,sSharePoint,B,1
"Kent Request Created on 23 April, 2019 ID: #5KGI6T#","Due to request, you created ID, we need to validate ",2020-01-09,10.57am,Tue,confirm now,"validate, request,",Y,,Y,Microsoft,B,1
RE: You're about to lose access to your Office subscription,subscription offcie 365,2020-01-09,2.03am edt,tue,renew now,"subscription, disable, access, admin, payment",Y,,Y,Office365,B,1
(1) Failed to process your Credit Card,credir card process failure,2020-01-09,5.56pm,wed,sign in to customer portal,"finance, payment, transaction, invoice, failed, ",Y,"Best Regards,",Y,offcie 365,B,1
Easiest way to claim $1000?,clain money by watching videos,2020-01-09,12.47pm EDT,tue,click here to watch the instructional video,"clain, money, ",,,,,Unknown,1
The Dwyer Group N0TlFlCATl0N,shared document,2020-01-09,11.55am,tue,open,"notification, share",Y,,Y,,B,1
"ÊJason Downing shared ""Proposal_(1)"" with you.",doc shared,2020-01-09,12.52pm,tue,open,"share, doc, education",Y,,Y,Microsoft,B,1
"Kent Service U_d_t_ 15 April, 2019 RefID:XYO2OH",validating account,2020-01-09,3.22pm,tue,confirm now,"share, validate, account, deactivate",Y,,Y,,B,1
ÊKent Request Created,validating email account,2020-01-09,4.23am,tue,confirm now,"validate, account, request",Y,,Y,,B,1
NEED URGENT QUOTE,cargo need to shio from your country to china asap,2020-01-09,5.10am,mon,,urgent,,,,,B,1
Payroll,attached document for payroll,2020-01-09,7.17pm,thur,URL Redacted,"tax, payroll, doc",Y,,Y,,B,1
ÊCoaching service,coaching service available ,2020-01-09,11.30am,wed,,service,Y,Thanks,Y,,B,11
MESSAGE ALERT,doc and audio ,2020-01-09,10.22am,wed,apen attch to play/view message,"doc, share, alert",Y,,Y,SharePoint,B,1
A document has been sent to you via eÄ_x Online,Document sent online,2020-01-09,11.35am,tue,clickhere,"share, sent, access, document",,,,eFax,B,1
ÊInitial Closing Disclosure - Escrow #7258300 / 3061 Vaughn Street,encrypted message,2020-01-09,2.28pm,tue,click here to open,encrypted,,,,,B,1
Server Notification for Kent Alert,server detect undelivered emals. Malfucntions and termination,2020-01-09,5.55am,mon,,"active, termination, alert, notification, required, malfunction",Y,,Y,,B,1
message notification,pdf ,2020-01-09,8.16pm,mon,download: Outstanding invoice.pdf,"notification, share, invoice, admin",Y,,Y,,B,1
"[IMPORTANCE] Password Confirmation Required On kent.edu April 5, 2019, 7:29 PM Report Refrence Acc ID :35878U9LC8","one time confirmation, avoid login interruption, password verification",2020-01-09,3.29pm,fri,confirm,"verification, interrution, account, required, avoid, confirmation",Y,,Y,Microsoft,B,1
ÊMarch Statement - Kent,payroll has been submitteed. ,2020-01-09,5.18pm,fri,URL Redacted,"payroll, statement, admin",Y,,Y,,B,1
ÊRE: Your Office 365 Business Essentials Bill is ready,"office365 is ready. Payment, credit card",2020-01-09,11.46am,thur,Sign in to customer portal,"account, payment,",Y,Thank you,Y,offcie 365,B,1
[Important] Login Review On Kent Users,microsoft password review,2020-01-09,12.53pm,tue,confirm now,"account, confirm, verification, interruptiom",Y,,Y,Microsoft,B,1
New Fax Message Fax. com Report[11],find attachment,2020-01-09,1.30pm,mon,,doc,Y,,Y,,B,1
Coaching Inquiry,coaching my son,2020-01-09,11.02am,sun,,"inquiry, employment",Y,Thanks,Y,,B,1
Job,resume attached,2020-01-09,11.44am,sat,,"job, employment",Y,,Y,,B,1
From The Desk Of Mr William C.Dudley,"federal reserve bank, record of outstanding payment with federal government, ",2020-01-09,11.18am,sat,,"payment, bank, federal, requested",Y,"Sincerely,",Y,,B,1
New fax from: Fax Service....,new fax,2020-01-09,8.57am,fri,fead your fax,"enclosed, processed, received",,,,,B,1
ÊMake Kent State Home,message,2020-01-09,5.41am,wed,read this message,doc,Y,Yours in Servic,Y,,B,1
3/26 *** Due,pdf file,2020-01-09,1.52pm,tue,file ,shared doc,,,Y,Premier1,B,1
Kennard is inviting you to collaborate on Past Due Invoice 100219,invoice due,2020-01-09,9.09pm,tue,open,"invoice, payment",Y,Thanks,Y,Microsoft,B,1
"ÊI'M SORRY, Apology insideÉ","internet business, access",2020-01-09,7.09pm EDT,tue,follow this link,"access, hidden, serious, ",Y,,Y,,B,1
Re: Office 365 - Check Your Account before is be deleted,offcie 365 essentials is ready,2020-01-09,9.57am,fri,sign in to the office 365 Admin center,"invoice,deleted, account",ba,,Y,Office 365,B,1
PO #0210-,Here is the purchase order in relation to client request,2020-01-09,10.07am,fri,#DownloadPO,"request, gift card",,Thank you,Y,,B,1
ÊRE: QUOTE STATEMENT,Please confirm if quoting is available for statement below,2020-01-09,3.18am,thur,StatementPDf,"confirm, statement",Y,Thank you,Y,,B,1
"Here's a way to ""earn while you learn","ttrade stocks , supplement income",2020-01-09,10.04pm,tue,click here eatch his video,"earn, income",Y,,Y,,B,1
ÊPreliminary CD Package Has Been Generated,Your documents s can be retrieved at,2020-01-09,12.48pm,wed,Doc Link,package,Y,Sincerely,Y,,B,1
Audio Received From,ms voice audio,2020-01-09,7.52AM,wed,,attachment,y,Yours in Servic,Y,,B,1
Instant Action Requested From You,You have the spot reserved but we need you to complete your activation now,2020-01-09,8.00AM EDT,tue,activation now,"requested, immidiately, confirm, activation",Y,Thanks,Y,,B,1
ÊYou've 2 Voicemail,voice message for you,2020-01-09,12.08pm,fri,VoiceMessage.way,"message, ",Y,Regards,Y,Office 365,B,1
Regarding Job,job possition apply,2020-01-09,8.47AM,fri,,"job, employment,",Y,"Best regards,",Y,,B,1
Ref:,most of your incoming email due to your mail session expiration ,2020-01-09,1.30PM,wed,clickhere,"expiration, upgrade, re-validation, pending",Y,"Best Regards,",Y,,B,1
no subject,You received VM from,2020-01-09,12.14PM,wed,Play Audio-26,,,,,,B,1
"Good day,",,2020-01-09,6.00PM,wed,,"payment, deceived",Y,Thanks,Y,,B,1
(Your Requested Username for jobs.kent.edu),your requested username for jons.kent,2020-01-09,10.56am,tue,Display full email,request,y,,Y,,B,1
Your February account statement is available.,account statement available,2020-01-09,9.12pm,tue,view statement,"acount, statement, access, ",Y,,Y,Paypal,B,1
